Season,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeCorners,AwayCorners,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,ManUtdIsHome,ManUtdGoalDiff,ManUtdResult,Points,CumulativePoints,ManUtdGoals,GoalsMovingAvg
2024/25,2024-08-16,Man United,Fulham,1,0,H,0,0,D,14,10,5,2,7,8,12,10,2,3,0,0,True,1,1,3,3,1,
2024/25,2024-08-24,Brighton,Man United,2,1,H,1,0,H,14,11,5,4,4,4,9,13,1,2,0,0,False,-1,-1,0,3,1,
2024/25,2024-09-01,Man United,Liverpool,0,3,A,0,2,A,8,11,3,3,5,2,7,7,4,1,0,0,True,-3,-1,0,3,0,
2024/25,2024-09-14,Southampton,Man United,0,3,A,0,2,A,6,20,4,10,0,7,11,14,1,4,1,0,False,3,1,3,6,3,
2024/25,2024-09-21,Crystal Palace,Man United,0,0,D,0,0,D,9,15,4,6,4,11,7,12,3,1,0,0,False,0,0,1,7,0,1.0
2024/25,2024-09-29,Man United,Tottenham,0,3,A,0,1,A,11,24,2,10,5,3,16,14,5,3,1,0,True,-3,-1,0,7,0,0.8
2024/25,2024-10-06,Aston Villa,Man United,0,0,D,0,0,D,11,10,1,4,6,3,12,11,1,5,0,0,False,0,0,1,8,0,0.6
2024/25,2024-10-19,Man United,Brentford,2,1,H,0,1,A,23,8,11,2,9,2,14,5,2,2,0,0,True,1,1,3,11,2,1.0
2024/25,2024-10-27,West Ham,Man United,2,1,H,0,0,D,12,18,3,5,6,5,6,7,5,1,0,0,False,-1,-1,0,11,1,0.6
2024/25,2024-11-03,Man United,Chelsea,1,1,D,0,0,D,11,12,4,3,4,8,19,14,6,2,0,0,True,0,0,1,12,1,0.8
2024/25,2024-11-10,Man United,Leicester,3,0,H,2,0,H,13,6,3,5,1,5,9,5,0,1,0,0,True,3,1,3,15,3,1.4
2024/25,2024-11-24,Ipswich,Man United,1,1,D,1,1,D,11,11,6,4,4,3,11,10,0,0,0,0,False,0,0,1,16,1,1.6
2024/25,2024-12-01,Man United,Everton,4,0,H,2,0,H,11,8,5,2,2,2,12,12,2,3,0,0,True,4,1,3,19,4,2.0
2024/25,2024-12-04,Arsenal,Man United,2,0,H,0,0,D,14,5,6,2,13,0,12,8,1,3,0,0,False,-2,-1,0,19,0,1.8
2024/25,2024-12-07,Man United,Nott'm Forest,2,3,A,1,1,D,17,11,7,3,5,3,10,13,0,2,0,0,True,-1,-1,0,19,2,2.0
2024/25,2024-12-15,Man City,Man United,1,2,A,1,0,H,10,10,3,3,8,2,5,14,1,1,0,0,False,1,1,3,22,2,1.8
2024/25,2024-12-22,Man United,Bournemouth,0,3,A,0,1,A,23,10,7,5,13,1,11,11,1,3,0,0,True,-3,-1,0,22,0,1.6
2024/25,2024-12-26,Wolves,Man United,2,0,H,0,0,D,7,11,4,4,4,4,12,12,2,2,0,1,False,-2,-1,0,22,0,0.8
2024/25,2024-12-30,Man United,Newcastle,0,2,A,0,2,A,10,12,0,4,2,3,13,8,1,1,0,0,True,-2,-1,0,22,0,0.8
2024/25,2025-01-05,Liverpool,Man United,2,2,D,0,0,D,19,13,6,4,6,9,10,13,2,4,0,0,False,0,0,1,23,2,0.8
2024/25,2025-01-16,Man United,Southampton,3,1,H,0,1,A,23,13,9,5,5,4,7,10,1,3,0,0,True,2,1,3,26,3,1.0
2024/25,2025-01-19,Man United,Brighton,1,3,A,1,1,D,10,6,1,3,4,2,13,12,3,3,0,0,True,-2,-1,0,26,1,1.2
2024/25,2025-01-26,Fulham,Man United,0,1,A,0,0,D,9,4,3,1,3,0,7,9,0,1,0,0,False,1,1,3,29,1,1.4
2024/25,2025-02-02,Man United,Crystal Palace,0,2,A,0,0,D,17,11,2,3,11,0,12,13,3,1,0,0,True,-2,-1,0,29,0,1.4
2024/25,2025-02-16,Tottenham,Man United,1,0,H,1,0,H,22,16,7,6,10,5,13,9,1,2,0,0,False,-1,-1,0,29,0,1.0
2024/25,2025-02-22,Everton,Man United,2,2,D,2,0,H,9,9,8,3,7,9,12,9,4,1,0,0,False,0,0,1,30,2,0.8
2024/25,2025-02-26,Man United,Ipswich,3,2,H,2,2,D,10,12,6,3,5,6,9,16,4,4,1,0,True,1,1,3,33,3,1.2
2024/25,2025-03-09,Man United,Arsenal,1,1,D,1,0,H,10,17,6,6,2,9,8,11,0,1,0,0,True,0,0,1,34,1,1.2
2024/25,2025-03-16,Leicester,Man United,0,3,A,0,1,A,11,18,3,5,6,4,6,6,2,0,0,0,False,3,1,3,37,3,1.8
2024/25,2025-04-01,Nott'm Forest,Man United,1,0,H,1,0,H,8,23,2,6,3,10,5,12,1,3,0,0,False,-1,-1,0,37,0,1.8
2024/25,2025-04-06,Man United,Man City,0,0,D,0,0,D,13,9,2,5,5,3,13,9,3,2,0,0,True,0,0,1,38,0,1.4
2024/25,2025-04-13,Newcastle,Man United,4,1,H,1,1,D,13,9,6,5,7,2,7,9,0,2,0,0,False,-3,-1,0,38,1,1.0
2024/25,2025-04-20,Man United,Wolves,0,1,A,0,0,D,12,4,2,2,9,2,11,18,2,3,0,0,True,-1,-1,0,38,0,0.8
2024/25,2025-04-27,Bournemouth,Man United,1,1,D,1,0,H,8,25,1,6,5,10,11,12,4,2,1,0,False,0,0,1,39,1,0.4
2024/25,2025-05-04,Brentford,Man United,4,3,H,2,1,H,12,14,6,5,7,4,8,10,0,2,0,0,False,-1,-1,0,39,3,1.0
